타임스탬프,어떤 종류의 화학 제품을 주로 사용하십니까? ,제품의 성분표를 확인하는 빈도는 얼마나 됩니까? ,화학 제품 사용이 환경에 미치는 영향에 대해 얼마나 알고 계십니까? 
2024. 6. 8 오후 2:41:17,"화장품 (예: 스킨, 로션)",가끔 확인한다,매우 잘 알고 있다
2024. 6. 8 오후 2:43:45,"살충제 (예: 모기약, 바퀴벌레약)",가끔 확인한다,어느 정도 알고 있다
2024. 6. 8 오후 2:48:45,"세정제 (예: 주방세제, 욕실세제)",거의 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 2:48:45,"세정제 (예: 주방세제, 욕실세제), 살충제 (예: 모기약, 바퀴벌레약), 화장품 (예: 스킨, 로션), 세탁용 제품 (예: 세제, 섬유유연제)",가끔 확인한다,어느 정도 알고 있다
2024. 6. 8 오후 3:06:47,"세정제 (예: 주방세제, 욕실세제), 화장품 (예: 스킨, 로션), 세탁용 제품 (예: 세제, 섬유유연제)",거의 확인하지 않는다,잘 모른다
2024. 6. 8 오후 3:09:51,"화장품 (예: 스킨, 로션)",전혀 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 3:14:53,"살충제 (예: 모기약, 바퀴벌레약)",전혀 확인하지 않는다,전혀 모른다
2024. 6. 8 오후 3:27:28,"세정제 (예: 주방세제, 욕실세제), 화장품 (예: 스킨, 로션)",가끔 확인한다,어느 정도 알고 있다
2024. 6. 8 오후 3:29:09,"화장품 (예: 스킨, 로션)",거의 확인하지 않는다,잘 모른다
2024. 6. 8 오후 3:31:28,"화장품 (예: 스킨, 로션)",거의 확인하지 않는다,잘 모른다
2024. 6. 8 오후 4:38:21,"세정제 (예: 주방세제, 욕실세제), 세탁용 제품 (예: 세제, 섬유유연제)",전혀 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 5:00:05,"세정제 (예: 주방세제, 욕실세제), 살충제 (예: 모기약, 바퀴벌레약), 화장품 (예: 스킨, 로션)",거의 확인하지 않는다,잘 모른다
2024. 6. 8 오후 5:38:23,"화장품 (예: 스킨, 로션)",가끔 확인한다,매우 잘 알고 있다
2024. 6. 8 오후 5:41:36,"살충제 (예: 모기약, 바퀴벌레약)",전혀 확인하지 않는다,잘 모른다
2024. 6. 8 오후 5:41:45,"화장품 (예: 스킨, 로션)",거의 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 5:41:59,"화장품 (예: 스킨, 로션)",가끔 확인한다,매우 잘 알고 있다
2024. 6. 8 오후 5:42:08,"화장품 (예: 스킨, 로션)",거의 확인하지 않는다,매우 잘 알고 있다
2024. 6. 8 오후 6:37:30,"화장품 (예: 스킨, 로션)",거의 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 9:18:35,"화장품 (예: 스킨, 로션)",가끔 확인한다,어느 정도 알고 있다
2024. 6. 8 오후 9:19:15,"화장품 (예: 스킨, 로션)",전혀 확인하지 않는다,잘 모른다
2024. 6. 8 오후 9:23:27,"화장품 (예: 스킨, 로션)",전혀 확인하지 않는다,잘 모른다
2024. 6. 8 오후 9:23:39,"세정제 (예: 주방세제, 욕실세제), 세탁용 제품 (예: 세제, 섬유유연제), 습윤제(치약)",가끔 확인한다,잘 모른다
2024. 6. 8 오후 9:39:17,"살충제 (예: 모기약, 바퀴벌레약)",전혀 확인하지 않는다,잘 모른다
2024. 6. 8 오후 10:37:42,"세정제 (예: 주방세제, 욕실세제), 화장품 (예: 스킨, 로션), 세탁용 제품 (예: 세제, 섬유유연제)",거의 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 10:40:14,"세탁용 제품 (예: 세제, 섬유유연제)",가끔 확인한다,잘 모른다
2024. 6. 8 오후 10:40:34,"살충제 (예: 모기약, 바퀴벌레약)",전혀 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 10:41:14,"세탁용 제품 (예: 세제, 섬유유연제)",가끔 확인한다,잘 모른다
2024. 6. 8 오후 10:42:44,"화장품 (예: 스킨, 로션)",항상 확인한다,매우 잘 알고 있다
2024. 6. 8 오후 10:43:06,"살충제 (예: 모기약, 바퀴벌레약), 화장품 (예: 스킨, 로션), 세탁용 제품 (예: 세제, 섬유유연제)",가끔 확인한다,잘 모른다
2024. 6. 8 오후 10:43:13,"살충제 (예: 모기약, 바퀴벌레약), 세탁용 제품 (예: 세제, 섬유유연제)",가끔 확인한다,잘 모른다
2024. 6. 8 오후 10:43:18,"세정제 (예: 주방세제, 욕실세제)",거의 확인하지 않는다,잘 모른다
2024. 6. 8 오후 11:08:44,"살충제 (예: 모기약, 바퀴벌레약), 화장품 (예: 스킨, 로션)",거의 확인하지 않는다,매우 잘 알고 있다
2024. 6. 8 오후 11:15:26,"화장품 (예: 스킨, 로션)",항상 확인한다,매우 잘 알고 있다
2024. 6. 8 오후 11:15:46,"세정제 (예: 주방세제, 욕실세제), 살충제 (예: 모기약, 바퀴벌레약)",전혀 확인하지 않는다,잘 모른다
2024. 6. 8 오후 11:16:03,"화장품 (예: 스킨, 로션), 세탁용 제품 (예: 세제, 섬유유연제)",가끔 확인한다,어느 정도 알고 있다
2024. 6. 8 오후 11:16:16,"살충제 (예: 모기약, 바퀴벌레약)",전혀 확인하지 않는다,전혀 모른다
2024. 6. 8 오후 11:16:30,"세정제 (예: 주방세제, 욕실세제)",가끔 확인한다,잘 모른다
2024. 6. 8 오후 11:17:49,"세정제 (예: 주방세제, 욕실세제), 살충제 (예: 모기약, 바퀴벌레약), 화장품 (예: 스킨, 로션)",거의 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 11:40:17,"화장품 (예: 스킨, 로션)",거의 확인하지 않는다,어느 정도 알고 있다
2024. 6. 8 오후 11:41:35,"화장품 (예: 스킨, 로션)",전혀 확인하지 않는다,전혀 모른다